,Canonical Name,Clean Region Name,Country Code,Country Name,Name,Region Name,Status,Target Type,city_reverse,country_code_reverse,country_reverse,county_reverse,lat,lng,postcode_reverse,region_reverse,state_reverse,NUTS3
15,"Alcobendas,Madrid",,,,Alcobendas,Madrid,,,Alcobendas,es,Spain,Área metropolitana de Madrid y Corredor del Henares,40.53725120000001,-3.637224499999999,28108,,Community of Madrid,ES300
16,"Totana,Murcia",,,,Totana,Murcia,,,Totana,es,Spain,Bajo Guadalentín,37.778001,-1.5015009,30850,,Murcia,ES620
17,"Mostoles,Madrid",,,,Mostoles,Madrid,,,Móstoles,es,Spain,Área metropolitana de Madrid y Corredor del Henares,40.323212899999994,-3.8676291,2838,,Community of Madrid,
20,"Pila,Aosta Valley",,,,Pila,Aosta Valley,,,Aosta,it,Italy,,45.7318255,7.319186599999999,11100,,Aosta Valley,ITC20
21,"Torrejon de Ardoz,Madrid",,,,Torrejon de Ardoz,Madrid,,,Torrejón de Ardoz,es,Spain,Área metropolitana de Madrid y Corredor del Henares,40.4567552,-3.4754967000000003,28850,,Community of Madrid,ES300
22,"Pinto,Madrid",,,,Pinto,Madrid,,,Pinto,es,Spain,Área metropolitana de Madrid y Corredor del Henares,40.2375052,-3.6967718,28320,,Community of Madrid,ES300
23,"Chania,Crete",,,,Chania,Crete,,,Chania,el,Greece,Chania Municipality,35.513829799999996,24.0180367,73100,,Crete,EL434
24,"Coslada,Madrid",,,,Coslada,Madrid,,,Coslada,es,Spain,Área metropolitana de Madrid y Corredor del Henares,40.4260459,-3.5651646,28821,,Community of Madrid,ES300
25,"Beam,Friesland",,,,Beam,Friesland,,,Leeuwarden,nl,Netherlands,,53.1641642,5.7817542,8912CD,,Friesland,NL124
26,"Parla,Madrid",,,,Parla,Madrid,,,Parla,es,Spain,Área metropolitana de Madrid y Corredor del Henares,40.237306200000006,-3.7739868999999997,28980,,Community of Madrid,ES300
27,"Algete,Madrid",,,,Algete,Madrid,,,Algete,es,Spain,Cuenca del Medio Jarama,40.596461700000006,-3.5016452000000005,28110,,Community of Madrid,ES300
29,"Mazarron,Murcia",,,,Mazarron,Murcia,,,Mazarrón,es,Spain,Bajo Guadalentín,37.595830799999995,-1.3147688,30870,,Murcia,ES620
32,"Valdemoro,Madrid",,,,Valdemoro,Madrid,,,Valdemoro,es,Spain,Comarca Sur,40.1912403,-3.6740182,28343,,Community of Madrid,ES300
33,"Tres Cantos,Madrid",,,,Tres Cantos,Madrid,,,Tres Cantos,es,Spain,Área metropolitana de Madrid y Corredor del Henares,40.600727,-3.7079745,28760,,Community of Madrid,ES300
35,"San Fernando de Henares,Madrid",,,,San Fernando de Henares,Madrid,,,San Fernando de Henares,es,Spain,Área metropolitana de Madrid y Corredor del Henares,40.42905289999999,-3.5104537000000002,28830,,Community of Madrid,ES300
36,"Rivas-Vaciamadrid,Madrid",,,,Rivas-Vaciamadrid,Madrid,,,Rivas-Vaciamadrid,es,Spain,Cuenca del Henares,40.3519065,-3.5357334000000002,28521,,Community of Madrid,ES300
37,"Pozuelo de Alarcon,Madrid",,,,Pozuelo de Alarcon,Madrid,,,Pozuelo de Alarcón,es,Spain,Área metropolitana de Madrid y Corredor del Henares,40.4440627,-3.8058517,28334,,Community of Madrid,
38,"Aguilas,Murcia",,,,Aguilas,Murcia,,,Águilas,es,Spain,Alto Guadalentín,37.411936499999996,-1.5826055,30880,,Murcia,ES620
43,"Soliera,Province of Modena",,,,Soliera,Province of Modena,,,Soliera,it,Italy,Unione delle Terre d'Argine,44.739641299999995,10.9231459,41019,,Emilia-Romagna,ITH54
45,"Santomera,Murcia",,,,Santomera,Murcia,,,Santomera,es,Spain,Área Metropolitana de Murcia,38.0601529,-1.0470905000000001,30140,,Murcia,ES620
46,"Fuenlabrada,Madrid",,,,Fuenlabrada,Madrid,,,Fuenlabrada,es,Spain,Área metropolitana de Madrid y Corredor del Henares,40.29020560000001,-3.8035476999999998,28941,,Community of Madrid,ES300
47,"Jumilla DO,Murcia",,,,Jumilla DO,Murcia,,,Jumilla,es,Spain,Altiplano,38.4763532,-1.3221865,30520,,Murcia,ES620
48,"Alcantarilla,Murcia",,,,Alcantarilla,Murcia,,,Alcantarilla,es,Spain,Área Metropolitana de Murcia,37.9695167,-1.2193421999999998,30820,,Murcia,ES620
49,"Villanueva del Pardillo,Madrid",,,,Villanueva del Pardillo,Madrid,,,Villanueva del Pardillo,es,Spain,Cuenca del Guadarrama,40.495315700000006,-3.9776388999999996,28229,,Community of Madrid,ES300
50,"Molina de Segura,Murcia",,,,Molina de Segura,Murcia,,,Molina de Segura,es,Spain,Vega Media del Segura,38.05168099999999,-1.2073261,30500,,Murcia,ES620
52,"Colmenar Viejo,Madrid",,,,Colmenar Viejo,Madrid,,,Colmenar Viejo,es,Spain,Cuenca Alta del Manzanares,40.66264810000001,-3.7710457,28770,,Community of Madrid,ES300
53,"Villaviciosa de Odon,Madrid",,,,Villaviciosa de Odon,Madrid,,,Villaviciosa de Odón,es,Spain,Área metropolitana de Madrid y Corredor del Henares,40.36268070000001,-3.9139109,28670,,Community of Madrid,ES300
